distance,rpm,angle
0.16357775347928613,100.0,1.5707963267948966
0.1694257303230085,101.01010101010101,1.5707963267948966
0.17484566363314366,102.02020202020202,1.5707963267948966
0.1809251286577983,103.03030303030303,1.5707963267948966
0.1871149730054359,104.04040404040404,1.5707963267948966
0.19341416727515667,105.05050505050505,1.5707963267948966
0.19930019184341285,106.06060606060606,1.5707963267948966
0.2058282856128014,107.07070707070707,1.5707963267948966
0.21246325606309796,108.08080808080808,1.5707963267948966
0.21869635866090426,109.0909090909091,1.5707963267948966
0.22555734000781544,110.1010101010101,1.5707963267948966
0.23252209107152683,111.11111111111111,1.5707963267948966
0.23910229176971487,112.12121212121212,1.5707963267948966
0.24628906532717357,113.13131313131314,1.5707963267948966
0.25357587627680267,114.14141414141415,1.5707963267948966
0.2605019253145627,115.15151515151516,1.5707963267948966
0.26800568285837484,116.16161616161617,1.5707963267948966
0.2751571617631285,117.17171717171718,1.5707963267948966
0.2828745171496177,118.18181818181819,1.5707963267948966
0.2902505173656899,119.1919191919192,1.5707963267948966
0.29817769339929984,120.20202020202021,1.5707963267948966
0.30577699365539296,121.21212121212122,1.5707963267948966
0.3139097901976422,122.22222222222223,1.5707963267948966
0.3217308593347449,123.23232323232324,1.5707963267948966
0.3300646596647426,124.24242424242425,1.5707963267948966
0.3381056600200008,125.25252525252526,1.5707963267948966
0.34663543803354124,126.26262626262627,1.5707963267948966
0.3548942293639857,127.27272727272728,1.5707963267948966
0.36361455755887895,128.2828282828283,1.5707963267948966
0.36908502775972685,100.0,1.5549296972313118
0.3720887014929995,129.2929292929293,1.5707963267948966
0.3772143887091089,101.01010101010101,1.5549296972313118
0.3809937596952429,130.3030303030303,1.5707963267948966
0.38719443035039447,102.02020202020202,1.5549296972313118
0.38968052468903547,131.31313131313132,1.5707963267948966
0.3973007317460111,103.03030303030303,1.5549296972313118
0.39847024559035027,132.32323232323233,1.5707963267948966
0.4075316336107625,104.04040404040404,1.5549296972313118
0.4076604762508254,133.33333333333334,1.5707963267948966
0.4161681028181403,105.05050505050505,1.5549296972313118
0.41665876233067567,134.34343434343435,1.5707963267948966
0.4260186784666852,135.35353535353536,1.5707963267948966
0.4266534436009035,106.06060606060606,1.5549296972313118
0.43522211157885793,136.36363636363637,1.5707963267948966
0.4372592428589306,107.07070707070707,1.5549296972313118
0.4445258745675108,137.37373737373738,1.5707963267948966
0.4479835396080548,108.08080808080808,1.5549296972313118
0.4541495045362192,138.3838383838384,1.5707963267948966
0.4571228787793088,109.0909090909091,1.5549296972313118
0.4636534086127136,139.3939393939394,1.5707963267948966
0.46809316784509875,110.1010101010101,1.5549296972313118
0.4732558270590012,140.40404040404042,1.5707963267948966
0.47917699168304295,111.11111111111111,1.5549296972313118
0.483129516040448,141.41414141414143,1.5707963267948966
0.48868425388524844,112.12121212121212,1.5549296972313118
0.49292653648730594,142.42424242424244,1.5707963267948966
0.5000069876674331,113.13131313131314,1.5549296972313118
0.5028200368765977,143.43434343434345,1.5707963267948966
0.5097512579504543,114.14141414141415,1.5549296972313118
0.5129291356619582,144.44444444444446,1.5707963267948966
0.5213083305522703,115.15151515151516,1.5549296972313118
0.5230111852215953,145.45454545454547,1.5707963267948966
0.532969854665383,116.16161616161617,1.5549296972313118
0.5331874690206095,146.46464646464648,1.5707963267948966
0.5430743651939124,117.17171717171718,1.5549296972313118
0.5435163795869188,147.4747474747475,1.5707963267948966
0.5538746665928245,148.4848484848485,1.5707963267948966
0.5549614859690207,118.18181818181819,1.5549296972313118
0.5643247389489217,149.49494949494948,1.5707963267948966
0.5652977394802454,119.1919191919192,1.5549296972313118
0.5712929815982577,100.0,1.539063067667727
0.574865897383978,150.50505050505052,1.5707963267948966
0.5774048477649194,120.20202020202021,1.5549296972313118
0.5851237873571659,101.01010101010101,1.539063067667727
0.5854820205302174,151.5151515151515,1.5707963267948966
0.5879704122682613,121.21212121212122,1.5549296972313118
0.5961962204419771,152.52525252525254,1.5707963267948966
0.5990975748240914,102.02020202020202,1.539063067667727
0.6002915062170647,122.22222222222223,1.5549296972313118
0.6069988074859993,153.53535353535352,1.5707963267948966
0.6110836627480443,123.23232323232324,1.5549296972313118
0.6132120424557782,103.03030303030303,1.539063067667727
