landing distance,landing direction,bot x velocity,bot y velocity,rpm,angle,speed
1.4401780713541128,180.0,0.0,0.0,4000.0,5.0,7.127353309059725
1.473518695184689,180.0,0.0,0.0,4050.0,5.0,7.196556969191214
1.5061049900532326,180.0,0.0,0.0,4100.0,5.0,7.263669424424471
1.5379245954860938,180.0,0.0,0.0,4150.0,5.0,7.3286906747594855
1.5689649380284896,180.0,0.0,0.0,4200.0,5.0,7.391620720196265
1.5992133687501442,180.0,0.0,0.0,4250.0,5.0,7.452459560734805
1.6286572660605425,180.0,0.0,0.0,4300.0,5.0,7.511207196375114
1.6572841227946955,180.0,0.0,0.0,4350.0,5.0,7.56786362711718
1.685081612382413,180.0,0.0,0.0,4400.0,5.0,7.622428852961011
1.712037641298917,180.0,0.0,0.0,4450.0,5.0,7.674902873906605
1.7381403908274844,180.0,0.0,0.0,4500.0,5.0,7.7252856899539655
1.763378350297998,180.0,0.0,0.0,4550.0,5.0,7.773577301103085
1.7877403426232388,180.0,0.0,0.0,4600.0,5.0,7.819777707353968
1.811215543755274,180.0,0.0,0.0,4650.0,5.0,7.8638869087066166
1.8337934969111094,180.0,0.0,0.0,4700.0,5.0,7.905904905161027
1.8554641246987253,180.0,0.0,0.0,4750.0,5.0,7.945831696717198
1.8762177391042523,180.0,0.0,0.0,4800.0,5.0,7.983667283375134
1.8960450452022983,180.0,0.0,0.0,4850.0,5.0,8.019411665134834
1.9149371512859885,180.0,0.0,0.0,4900.0,5.0,8.053064841996296
1.932885549368818,180.0,0.0,0.0,4950.0,5.0,8.084626813959519
1.9498821469121437,180.0,0.0,0.0,5000.0,5.0,8.114097581024506
1.9659192492896143,180.0,0.0,0.0,5050.0,5.0,8.14147714319126
1.980989563432961,180.0,0.0,0.0,5100.0,5.0,8.166765500459773
1.9950861970614018,180.0,0.0,0.0,5150.0,5.0,8.189962652830049
2.0082026576258887,180.0,0.0,0.0,5200.0,5.0,8.211068600302092
2.020332851109342,180.0,0.0,0.0,5250.0,5.0,8.230083342875893
2.0314710808005363,180.0,0.0,0.0,5300.0,5.0,8.24700688055146
2.041612046140934,180.0,0.0,0.0,5350.0,5.0,8.261839213328788
2.0507508417288105,180.0,0.0,0.0,5400.0,5.0,8.274580341207882
2.0588829565526026,180.0,0.0,0.0,5450.0,5.0,8.285230264188737
2.066004273514978,180.0,0.0,0.0,5500.0,5.0,8.293788982271355
2.0721110693002114,180.0,0.0,0.0,5550.0,5.0,8.300256495455738
2.0772000146295655,180.0,0.0,0.0,5600.0,5.0,8.304632803741882
2.08100046381752,180.0,0.0,0.0,6000.0,5.0,8.264359893694506
2.0812681749435664,180.0,0.0,0.0,5650.0,5.0,8.306917907129789
2.0841264431836377,180.0,0.0,0.0,5950.0,5.0,8.276713224594259
2.0843130115431983,180.0,0.0,0.0,5700.0,5.0,8.307111805619458
2.086222307520235,180.0,0.0,0.0,5900.0,5.0,8.28697535059577
2.0863323832178637,180.0,0.0,0.0,5750.0,5.0,8.305214499210894
2.0872881677468396,180.0,0.0,0.0,5850.0,5.0,8.295146271699048
2.087324548383064,180.0,0.0,0.0,5800.0,5.0,8.30122598790409
2.579771992281403,0.0,0.0,0.0,4000.0,4.5,7.127353309059725
2.638255259972312,0.0,0.0,0.0,4050.0,4.5,7.196556969191214
2.69519883352633,0.0,0.0,0.0,4100.0,4.5,7.263669424424471
2.7505926482378684,0.0,0.0,0.0,4150.0,4.5,7.3286906747594855
2.8044254534366115,0.0,0.0,0.0,4200.0,4.5,7.391620720196265
2.856685198178196,0.0,0.0,0.0,4250.0,4.5,7.452459560734805
2.907359370546847,0.0,0.0,0.0,4300.0,4.5,7.511207196375114
2.9564352406353063,0.0,0.0,0.0,4350.0,4.5,7.56786362711718
3.0039000566628897,0.0,0.0,0.0,4400.0,4.5,7.622428852961011
3.0497411982880474,0.0,0.0,0.0,4450.0,4.5,7.674902873906605
3.0939462969678213,0.0,0.0,0.0,4500.0,4.5,7.7252856899539655
3.1365033302069714,0.0,0.0,0.0,4550.0,4.5,7.773577301103085
3.1774006949666744,0.0,0.0,0.0,4600.0,4.5,7.819777707353968
3.2166272627529056,0.0,0.0,0.0,4650.0,4.5,7.8638869087066166
3.254172425937065,0.0,0.0,0.0,4700.0,4.5,7.905904905161027
3.290026130147008,0.0,0.0,0.0,4750.0,4.5,7.945831696717198
3.324178896432598,0.0,0.0,0.0,4800.0,4.5,7.983667283375134
3.356621837433036,0.0,0.0,0.0,4850.0,4.5,8.019411665134834
3.3790427826220895,0.0,0.0,0.0,4250.0,4.0,7.452459560734805
3.387346668431073,0.0,0.0,0.0,4900.0,4.5,8.053064841996296
3.4163457141953684,0.0,0.0,0.0,4950.0,4.5,8.084626813959519
3.4436119123031945,0.0,0.0,0.0,5000.0,4.5,8.114097581024506
3.4691388136145602,0.0,0.0,0.0,5050.0,4.5,8.14147714319126
3.492920580531866,0.0,0.0,0.0,5100.0,4.5,8.166765500459773
3.5149519836002745,0.0,0.0,0.0,5150.0,4.5,8.189962652830049
3.535228396913174,0.0,0.0,0.0,5200.0,4.5,8.211068600302092
3.5537457927057723,0.0,0.0,0.0,5250.0,4.5,8.230083342875893
3.5611168625710934,0.0,0.0,0.0,4300.0,4.0,7.511207196375114
3.570500735452047,0.0,0.0,0.0,5300.0,4.5,8.24700688055146
3.5854903757259686,0.0,0.0,0.0,5350.0,4.5,8.261839213328788
3.5966652027799215,180.0,0.0,0.0,4000.0,5.5,7.127353309059725
3.598712444043997,0.0,0.0,0.0,5400.0,4.5,8.274580341207882
